"Date","Production Total [MWh]","Hydro [MWh]","Nuclear [MWh]","Solar [MWh]","Thermal [MWh]","Wind Onshore [MWh]","Other [MWh]","Consumption Total [MWh]","Metered [MWh]","Profiled [MWh]","Price","temperature_2m (°C)","cloud_cover (%)","wind_speed_100m (km/h)","gas pr","oil pr"
"2017-05-01",228838.901752,14573.339525,184610.2,392.00725,14061.954095,5033.157204,10168.243678,200508.12165,123492.610221,77015.511429,26.871250000000003,8.393749999999999,3.791666666666666,17.29513888888889,27.42,438.51
"2017-05-02",230499.694663,18248.291846,184546.85,386.961431,11914.981389,5297.577957,10105.03204,216462.22531,146833.891162,69628.334148,30.605833333333333,8.682638888888889,13.409722222222223,14.914583333333333,27.42,438.51
"2017-05-03",234280.338698,17756.136639,184177.43,360.330567,11884.411927,10058.731785,10043.29778,217273.418455,148955.403502,68318.014953,31.013333333333332,7.5881944444444445,13.736111111111107,16.747916666666665,27.42,438.51
"2017-05-04",243336.011347,17091.569457,183982.74,399.529317,13147.499415,18768.794155,9945.879003,219638.095508,149668.64703,69969.448478,29.446666666666665,6.357638888888888,1.9444444444444442,19.39027777777778,27.42,438.51
"2017-05-05",234197.504677,18791.630782,183682.1,399.356395,13119.81184,8300.161889,9904.443771,214879.088355,146756.874531,68122.213824,29.79208333333333,10.62291666666667,11.243055555555554,13.06875,27.42,438.51
"2017-05-06",231346.877313,15954.674609,183270.55,280.898622,11535.965961,10459.73737,9845.050751,183780.386284,119912.199569,63868.186715,29.585833333333333,10.311805555555557,62.49305555555556,21.772222222222222,27.42,438.51
"2017-05-07",232574.687347,16447.99621,183184.2,202.797634,12923.244415,10044.370493,9772.078595,193884.358709,123457.730179,70426.62853,28.272916666666674,6.313194444444445,65.45833333333331,20.025000000000002,27.42,438.51
"2017-05-08",253321.455985,20659.331822,183353.76,226.350051,14447.175631,24973.803252,9661.035229,236446.503588,156193.62626,80252.877328,29.98125,2.605555555555555,40.35416666666667,30.145833333333332,27.42,438.51
"2017-05-09",239085.957558,25623.588846,183357.04,258.15674,14629.251307,5532.481635,9685.43903,242171.383754,157548.817021,84622.566733,35.13791666666666,1.5770833333333332,35.298611111111114,15.405555555555555,27.42,438.51
"2017-05-10",239253.299061,25838.771659,183244.73,207.1123,15223.800058,5192.261013,9546.624031,244052.791759,158853.572854,85199.218905,36.84375,1.6090277777777782,33.59722222222222,12.700694444444446,27.42,438.51
"2017-05-11",241059.129443,24461.407172,183252.06,134.088224,15567.998267,8146.258209,9497.317571,243881.673579,157055.664388,86826.009191,34.26458333333333,3.155555555555556,65.03472222222221,12.10763888888889,27.42,438.51
"2017-05-12",232445.401023,19579.257401,183036.05,339.096292,13177.412197,6865.242024,9448.343109,226635.547455,148467.153193,78168.394262,31.790000000000003,4.840972222222223,43.972222222222214,16.418055555555554,27.42,438.51
"2017-05-13",230274.70604,16386.581012,182914.28,253.190462,11556.360419,9772.502866,9391.791281,198844.584281,122619.831374,76224.752907,30.215416666666666,7.096527777777777,52.71527777777778,14.763888888888891,27.42,438.51
"2017-05-14",224849.947073,15782.90947,182731.56,121.181009,11922.547787,4957.275803,9334.473004,194732.019999,123552.15627,71179.863729,28.592916666666667,10.072916666666668,93.34722222222221,13.62638888888889,27.42,438.51
"2017-05-15",229689.83531,21012.703915,182546.16,101.338019,11000.808129,5775.067852,9253.757395,226514.418347,155306.902087,71207.51626,32.907916666666665,6.111805555555557,93.6875,17.486111111111114,27.42,438.51
"2017-05-16",229880.783746,19517.472042,180740.73,226.397612,11114.763895,9118.079015,9163.341182,221427.382057,151091.786494,70335.595563,31.38375,7.657638888888888,67.74305555555557,17.1125,27.42,438.51
"2017-05-17",232998.90165,22603.658652,181092.18,47.727709,10921.276013,9213.495172,9120.564104,216004.439437,148276.443473,67727.995964,30.26458333333333,9.846527777777776,99.18749999999999,17.823611111111106,27.42,438.51
"2017-05-18",237339.738532,20350.503554,180409.03,343.802705,8593.848549,18561.089902,9081.463822,203188.612405,145557.02425,57631.588155,28.00333333333333,15.08263888888889,70.70138888888891,23.027083333333334,27.42,438.51
"2017-05-19",227507.156657,22932.58464,181532.44,309.625559,7573.641601,6131.695171,9027.169686,194957.234252,141306.367293,53650.866959,31.517500000000013,18.243749999999995,45.833333333333336,17.60625,27.42,438.51
"2017-05-20",231932.500671,18652.152636,181127.05,310.424925,7510.844343,15355.45989,8976.568877,175855.424284,121172.610092,54682.814192,24.01541666666666,13.821527777777776,58.68055555555555,20.918055555555558,27.42,438.51
"2017-05-21",231138.406621,19024.610268,180173.6,364.384571,7472.98164,15199.401913,8903.428229,178435.121996,121377.155868,57057.966128,18.784166666666668,13.867361111111109,41.611111111111114,18.39375,27.42,438.51
"2017-05-22",236425.881511,26286.478034,179301.12,287.261265,7345.760678,14360.643927,8844.617607,205119.569129,148865.413797,56254.155332,31.53208333333334,13.703472222222224,74.74305555555557,24.281250000000004,27.42,438.51
"2017-05-23",224894.145399,26326.146675,178492.84,381.880533,6760.78225,4191.222547,8741.273394,205052.773305,148658.199729,56394.573576,30.030833333333334,11.677777777777777,53.541666666666664,14.102777777777781,27.42,438.51
"2017-05-24",215829.693338,24631.256384,170391.46,385.857733,7227.532424,4471.92234,8721.664457,201503.723519,146354.812879,55148.91064,27.03666666666667,14.040277777777778,22.57638888888889,13.172916666666666,27.42,438.51
"2017-05-25",207686.193202,19942.837927,160897.723972,348.544538,8562.769239,9268.173613,8666.143913,177467.534641,122549.193715,54918.340926,24.859166666666667,13.94375,69.6388888888889,17.447916666666668,27.42,438.51
"2017-05-26",195166.746804,21677.817047,149980.3,412.787837,7483.418314,7004.840389,8607.583217,183011.409755,129275.263608,53736.146147,29.12166666666667,14.211805555555555,70.54861111111111,17.254166666666663,27.42,438.51
"2017-05-27",193943.64709,18169.287659,148818.31,440.837724,6589.563978,11375.433849,8550.21388,170038.864998,118919.20372,51119.661278,25.592083333333335,18.465277777777782,46.145833333333336,15.722222222222221,27.42,438.51
"2017-05-28",201750.945235,17233.902934,148556.04,295.651333,6944.202607,20212.19214,8508.956221,170108.68156,119026.137647,51082.543913,21.07416666666666,20.011111111111113,61.166666666666664,25.988888888888887,27.42,438.51
"2017-05-29",198573.691788,28224.55244,148230.8,246.582239,7574.585569,5842.584909,8454.586631,195960.796155,144225.021997,51735.774158,34.37083333333334,14.211805555555554,41.63888888888889,20.76875,27.42,438.51
"2017-05-30",201348.24543,26928.081568,147740.31,44.092508,8550.705898,9671.935721,8413.119735,202375.396204,145427.490946,56947.905258,36.947083333333325,11.125694444444443,92.40972222222221,20.702777777777776,27.42,438.51
"2017-05-31",179864.389864,20154.239325,127914.321103,203.185883,8451.610417,14735.349733,8405.683403,206148.233921,149062.531642,57085.702279,27.269583333333333,12.118750000000002,82.98611111111111,17.25208333333333,27.42,438.51
"2017-06-01",199816.704406,21162.140909,142973.92,405.704371,8772.5016,18195.731369,8306.706157,205871.249385,147817.577089,58053.672296,30.969166666666663,10.361111111111112,52.36805555555556,30.025,25.57,401.55
"2017-06-02",195260.336386,22387.656706,148841.22,363.276796,8754.845341,6638.602798,8274.734745,198142.940661,139256.503936,58886.436725,34.95583333333333,9.63263888888889,21.736111111111114,21.679861111111112,25.57,401.55
"2017-06-03",187927.554954,15929.66496,152123.97,139.783283,8378.602662,3191.590876,8163.943173,176567.123089,115965.109821,60602.013268,27.372916666666665,11.33263888888889,82.40972222222221,11.203472222222219,25.57,401.55
"2017-06-04",187678.310307,15446.270605,152164.986,116.254054,8577.195431,3263.62088,8109.983337,173530.105749,114185.31139,59344.794359,24.794999999999998,12.28125,99.24999999999999,13.09097222222222,25.57,401.55
"2017-06-05",208177.366979,15908.9052,152324.28,320.633052,8343.047582,23206.476194,8074.024951,190077.590744,132197.141249,57880.449495,25.377083333333335,13.383333333333333,58.48611111111111,25.54583333333333,25.57,401.55
"2017-06-06",205013.974952,15975.671579,152038.7,400.057593,8430.034843,20130.25924,8039.251697,175328.556021,121386.942251,53941.61377,21.458333333333332,15.197916666666664,41.81250000000001,22.18194444444445,25.57,401.55
"2017-06-07",215956.897168,16197.669816,151398.89,119.140157,7868.096321,32344.544019,8028.556855,202221.171076,146562.899585,55658.271491,18.052500000000002,13.269444444444446,71.34027777777777,33.988194444444446,25.57,401.55
"2017-06-08",196379.000813,20675.41934,143228.867,167.280555,8212.222969,16222.618349,7872.5926,204568.466259,147683.922206,56884.544053,26.444583333333338,12.971527777777778,54.56944444444444,23.804166666666667,25.57,401.55
"2017-06-09",186233.084603,20920.171409,142329.813,137.101767,8430.028499,6531.461728,7884.5082,198307.685562,142619.587017,55688.098545,31.430416666666666,13.982638888888891,80.99999999999999,15.515277777777778,25.57,401.55
"2017-06-10",189404.189973,17243.147334,142866.79,251.206199,7749.386908,13454.325112,7839.33442,175822.792478,121314.278519,54508.513959,26.925833333333333,15.298611111111112,92.54166666666667,17.387499999999996,25.57,401.55
"2017-06-11",191703.941793,17113.739804,145920.70379,191.264719,7211.193997,13475.418412,7791.621071,177038.113693,121793.001149,55245.112544,21.52875,15.876388888888892,78.72222222222223,21.55972222222222,25.57,401.55
